function	line_start	line_end	labels	direct_labels	inherited_labels	call_count	calls	reasons
IllIllI	6013	6018	wave	wave		0		wave:Ili[|wave:Player(10)|wave:CountUnitsInGroup(lIliII(Player(10)
IlliIII	6019	6034	wave	wave		1	CreateNUnitsAtLoc	wave:Player(10)|wave:CreateNUnitsAtLoc(2,iIi
IlliIlI	6041	6046	wave	wave		0		wave:Ili[|wave:Player(10)|wave:CountUnitsInGroup(lIliII(Player(10)
IlliiII	6047	6062	wave	wave		1	CreateNUnitsAtLoc	wave:Player(10)|wave:CreateNUnitsAtLoc(2,iIi
IlliilI	6069	6074	wave	wave		0		wave:Ili[|wave:Player(10)|wave:CountUnitsInGroup(lIliII(Player(10)
IllilII	6075	6090	wave	wave		1	CreateNUnitsAtLoc	wave:Player(10)|wave:CreateNUnitsAtLoc(2,iIi
IllillI	6097	6102	wave	wave		0		wave:Ili[|wave:Player(10)|wave:CountUnitsInGroup(lIliII(Player(10)
IlllIII	6103	6118	wave	wave		1	CreateNUnitsAtLoc	wave:Player(10)|wave:CreateNUnitsAtLoc(2,iIi
IlllIlI	6125	6130	wave	wave		0		wave:Ili[|wave:Player(10)|wave:CountUnitsInGroup(lIliII(Player(10)
IllliII	6131	6146	wave	wave		1	CreateNUnitsAtLoc	wave:Player(10)|wave:CreateNUnitsAtLoc(2,iIi
IlllilI	6153	6158	wave	wave		0		wave:Ili[|wave:Player(10)|wave:CountUnitsInGroup(lIliII(Player(10)
IllllII	6159	6174	wave	wave		1	CreateNUnitsAtLoc	wave:Player(10)|wave:CreateNUnitsAtLoc(2,iIi
iIIIilI	6226	6250	wave	wave		0		wave:Ili[
iIIiiII	6296	6315	wave	wave		0		wave:Ili[
iIIlIlI	6367	6391	wave	wave		0		wave:Ili[
iIIlliI	6425	6436	wave	wave		0		wave:Ili[
iIiIilI	6482	6501	wave	wave		0		wave:Ili[
iIiiIiI	6535	6546	wave	wave		0		wave:Ili[
iIiillI	6592	6611	wave	wave		0		wave:Ili[
iIiliiI	6645	6656	wave	wave		0		wave:Ili[
iIlIIlI	6702	6721	wave	wave		0		wave:Ili[
iIlIliI	6755	6766	wave	wave		0		wave:Ili[
iIliilI	6785	6792	wave	wave		1	ForGroupBJ	wave:Player(10)
iIllliI	6883	6894	wave	wave		0		wave:Player(10)
iiIIliI	6943	6985	wave	wave		2	DisplayTimedTextToForce,LeaderboardSetPlayerItemValueBJ	wave:늑대
iiiIIII	7156	7197	chat	chat		2	DisplayTimedTextToForce,StartTimerBJ	chat:채팅|chat:-hostban
iiiIilI	7233	7887	alliance,chat,disease,wave	alliance,chat,wave	disease	34	ConditionalTriggerExecute,DisableTrigger,NewSoundEnvironment,SetAmbientDaySound,SetAmbientNightSound,SetCameraBounds,SetDayNightModels,SetMapMusic,SetSoundChannel,SetSoundDuration,SetSoundParamsFromLabel,SetSoundPitch,SetSoundVolume,SetTerrainFogEx,TriggerAddAction,TriggerAddCondition,TriggerRegisterAnyUnitEventBJ,TriggerRegisterDialogEventBJ,TriggerRegisterEnterRectSimple,TriggerRegisterGameStateEventTimeOfDay	wave:Player(10)|chat:TriggerRegisterPlayerChatEvent|chat:-hostban|alliance:동맹|alliance:-올동맹|alliance:-동맹상태|alliance:-동맹|calls:lilIII:wave|calls:lilIiI:wave|calls:lilIlI:wave|calls:liliII:disease
iiiIliI	7891	7894	alliance,chat	alliance,chat		1	DisplayTimedTextToPlayer	chat:채팅|alliance:동맹
iiiIllI	7895	7908	alliance,chat	alliance,chat		2	TriggerAddAction,TriggerRegisterPlayerChatEvent	chat:TriggerRegisterPlayerChatEvent|alliance:동맹|alliance:-동맹
iiiiIlI	7925	7928	chat	chat		1	DisplayTimedTextToPlayer	chat:채팅
iiiiiII	7929	7942	chat	chat		2	TriggerAddAction,TriggerRegisterPlayerChatEvent	chat:TriggerRegisterPlayerChatEvent|chat:-전체
iiiiiiI	7943	7946	chat	chat		1	DisplayTimedTextToPlayer	chat:채팅
iiiiilI	7947	7960	chat	chat		2	TriggerAddAction,TriggerRegisterPlayerChatEvent	chat:TriggerRegisterPlayerChatEvent|chat:-모두
iiiilII	7961	7975	alliance,chat	alliance,chat		0		chat:GetEventPlayerChatString|chat:-모두|chat:-전체|alliance:동맹|alliance:-동맹
iiiiliI	7976	7978	alliance,chat	alliance,chat		1	DisplayTextToForce	chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString|chat:DisplayTextToForce|alliance:lIlilI(GetTriggerPlayer
iiiillI	7979	7993	chat	chat		3	TriggerAddAction,TriggerAddCondition,TriggerRegisterPlayerChatEvent	chat:TriggerRegisterPlayerChatEvent
iiilIII	7994	8008	alliance,chat	alliance,chat		0		chat:GetEventPlayerChatString|chat:-모두|chat:-전체|alliance:동맹|alliance:-동맹
iiilIiI	8009	8011	alliance,chat	alliance,chat		1	DisplayTextToForce	chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString|chat:DisplayTextToForce|alliance:동맹|alliance:lIlilI(GetTriggerPlayer
iiilIlI	8012	8026	chat	chat		3	TriggerAddAction,TriggerAddCondition,TriggerRegisterPlayerChatEvent	chat:TriggerRegisterPlayerChatEvent
iliiilI	8700	8727	alliance,chat	alliance,chat		6	DialogAddButtonBJ,DisplayTimedTextToForce,SetUnitInvulnerable,ShowUnitHide,TriggerRegisterPlayerChatEvent,TriggerRegisterUnitEvent	chat:TriggerRegisterPlayerChatEvent|chat:채팅|chat:-모두|alliance:동맹|alliance:-동맹
illillI	8978	8980	chat	chat		1	SetPlayerName	chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
illlIII	8981	8994	chat	chat		2	TriggerAddAction,TriggerRegisterPlayerChatEvent	chat:TriggerRegisterPlayerChatEvent|chat:-이름
illllII	9027	9034	wave	wave		3	DialogAddButtonBJ,PauseUnitBJ,ShowUnitHide	wave:늑대
lIIiiII	9130	9160	economy,wave	economy,wave		7	AdjustPlayerStateBJ,CreateNUnitsAtLoc,DisableTrigger,DisplayTimedTextToForce,ShowUnitHide,TriggerExecute,TriggerSleepAction	wave:Player(10)|economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE
lIIlIlI	9205	9213	chat	chat		0		chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
lIIliiI	9217	9222	chat	chat		3	TriggerAddAction,TriggerAddCondition,TriggerRegisterPlayerChatEvent	chat:TriggerRegisterPlayerChatEvent
lIIlilI	9223	9231	chat	chat		0		chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
lIIllII	9232	9234	economy	economy		1	AdjustPlayerStateBJ	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE
lIIlllI	9240	9251	chat	chat		0		chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
lIiIiII	9268	9276	chat	chat		0		chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
lIiIiiI	9277	9291	alliance,chat	alliance,chat		0		chat:GetEventPlayerChatString|alliance:동맹
lIiIllI	9303	9311	chat	chat		0		chat:GetEventPlayerChatString|chat:SubStringBJ(GetEventPlayerChatString
lIiiIII	9312	9314	economy	economy		1	AdjustPlayerStateBJ	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE
lIiiIlI	9320	9322	economy	economy		1	AdjustPlayerStateBJ	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE|economy:CountLivingPlayerUnitsOfTypeId(1747988545
lIiiiiI	9327	9329	economy	economy		1	AdjustPlayerStateBJ	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE|economy:CountLivingPlayerUnitsOfTypeId(1747988545
lIiilII	9334	9345	economy	economy		0		economy:CountLivingPlayerUnitsOfTypeId(1747988545|economy:CountLivingPlayerUnitsOfTypeId(1747988554|economy:CountLivingPlayerUnitsOfTypeId(1747988567
lIiillI	9352	9366	economy	economy		2	AdjustPlayerStateBJ,DisplayTimedTextToPlayer	economy:AdjustPlayerStateBJ|economy:PLAYER_STATE_RESOURCE|economy:CountLivingPlayerUnitsOfTypeId(1747988545|economy:CountLivingPlayerUnitsOfTypeId(1747988554|economy:CountLivingPlayerUnitsOfTypeId(1747988567
lIiliII	9379	9381	wave	wave		1	SetPlayerTechResearchedSwap	wave:Player(10)
lIililI	9387	9389	wave	wave		1	SetPlayerTechResearchedSwap	wave:Player(10)
lIlIiII	9437	9491	alliance,chat		alliance,chat	53	iiiIlII,iiiIllI,iiiiIiI,iiiiiII,iiiiilI,iiiillI,iiilIlI,iiillII,iilIIiI,iilIilI,iiliIII,iiliiiI,iilillI,iilliII,iillilI,ilIIliI,ilIlIII,iliIIlI,iliiiiI,iliilII	calls:iiiIllI:chat|calls:iiiIllI:alliance|calls:iiiiiII:chat|calls:iiiiilI:chat|calls:iiiillI:chat|calls:iiilIlI:chat|calls:illlIII:chat|calls:lIIliiI:chat
lIlIilI	9499	9562	wave	wave		6	ForcePlayerStartLocation,SetPlayerColor,SetPlayerController,SetPlayerRacePreference,SetPlayerRaceSelectable,SetPlayerStartLocation	wave:Player(10)
InitCustomTeams	9563	9576	wave	wave		1	SetPlayerTeam	wave:Player(10)
main	9670	9684	wave		wave	13	NewSoundEnvironment,SetAmbientDaySound,SetAmbientNightSound,SetCameraBounds,SetDayNightModels,SetMapMusic,SetTerrainFogEx,lIlIiII,lIlIiiI,liiIiI,liiIlI,liiliI,liillI	calls:liiIlI:wave
config	9685	9706	wave		wave	9	DefineStartLocation,InitCustomTeams,SetGamePlacement,SetMapDescription,SetMapName,SetPlayers,SetTeams,lIlIilI,lIlIlII	calls:lIlIilI:wave|calls:InitCustomTeams:wave
