label	function_count	direct_count	inherited_count	first_functions
wave	77	75	2	liiIlI,lilIII,lilIiI,lilIlI,IIIIIi,IIilii,IiiiIi,Iiiili,Iiilii,iIIIii,iIIili,lilili
economy	26	26	0	IIilii,IIlIii,lIIIIi,lIIIli,lIIiii,lIIlIi,lIIlli,lIiIii,lIiiIi,lIiili,lIilii,lIlIIi
disease	14	13	1	liliII,lilliI,llIiiI,Iiilii,lliIIi,lliiii,llilIi,llliii,lllili,llllIi,llllii,llllli
chat	30	29	1	llIiII,lliIlI,IIIIIi,IIllilI,IIlllII,iiiIIII,iiiIilI,iiiIliI,iiiIllI,iiiiIlI,iiiiiII,iiiiiiI
alliance	28	27	1	lIlilI,IIIIIi,IiIiii,IiiIii,Iillii,IiIIilI,IiilliI,IilIIlI,IilIlII,IiliIiI,IiliilI,IillIII
