function	callee
ililIi	RemoveItem
ililIi	SetItemCharges
ililIi	UnitAddItemSwapped
illIli	KillUnit
illiii	CreateItemLoc
illiii	ForGroupBJ
illiii	RemoveItem
illiii	SetItemCharges
illiii	UnitAddItemSwapped
illlIi	SetUnitAnimationByIndex
illlIi	lIIiiI
lIilii	AdjustPlayerStateBJ
lIilii	DisplayTimedTextToForce
lIlIii	AdjustPlayerStateBJ
lIlIii	CreateNUnitsAtLoc
lIlIii	DisplayTimedTextToForce
lIliii	AdjustPlayerStateBJ
lIliii	CreateNUnitsAtLoc
lIliii	DisplayTimedTextToForce
lIllii	AdjustPlayerStateBJ
lIllii	CreateNUnitsAtLoc
lIllii	DisplayTimedTextToForce
liIIii	IssueImmediateOrderBJ
liIiii	IssueTargetOrderBJ
liIili	ForGroupBJ
liiiIi	KillUnit
liilIi	AdjustPlayerStateBJ
liilIi	DisplayTimedTextToForce
liilIi	ForGroupBJ
liilIi	IssueImmediateOrderBJ
liilIi	ReviveHeroLoc
liilIi	UnitAddItemByIdSwapped
liilli	CreateNUnitsAtLocFacingLocBJ
liilli	IssueImmediateOrderBJ
liilli	RemoveUnit
liilli	lIIiiI
lilIii	IssueImmediateOrderBJ
liliIi	CreateNUnitsAtLocFacingLocBJ
liliIi	ExplodeUnitBJ
liliIi	lIIiiI
lilili	CreateNUnitsAtLoc
lilili	IssueImmediateOrderBJ
lilili	RemoveUnit
lilili	SetHeroLevelBJ
lillli	IssuePointOrderLocBJ
llIIIi	ForGroupBJ
llIIli	IssueImmediateOrderBJ
llIiii	CreateNUnitsAtLoc
llIili	ForGroupBJ
llIlli	CreateNUnitsAtLoc
lliIIi	DialogAddButtonBJ
lliIIi	DialogDisplayBJ
lliIIi	DialogSetMessageBJ
lliiii	ConditionalTriggerExecute
lliiii	DisplayTimedTextToForce
llilIi	CreateNUnitsAtLoc
llilIi	IssueTargetOrder
llilIi	IssueTargetOrderBJ
lllIIi	RemoveUnit
lllIIi	lIIiiI
llliii	DisplayTimedTextToForce
llliii	EnableTrigger
llliii	lIIiiI
llllIi	CreateNUnitsAtLoc
llllIi	UnitApplyTimedLife
llllli	CreateNUnitsAtLoc
llllli	UnitApplyTimedLife
IIIIIlI	UnitRemoveBuffBJ
IIIIiiI	RemoveUnit
IIIIliI	DisplayTimedTextToForce
IIIIliI	RemoveItem
IIIIliI	SetPlayerTechResearchedSwap
IIIiIiI	DisplayTimedTextToForce
IIIiIiI	RemoveItem
IIIiIiI	SetPlayerTechResearchedSwap
IIIiiiI	DisplayTimedTextToForce
IIIiiiI	RemoveItem
IIIiiiI	SetPlayerTechResearchedSwap
IIIiliI	DisplayTimedTextToForce
IIIiliI	RemoveItem
IIIiliI	SetPlayerTechResearchedSwap
IIIlliI	SetPlayerUnitAvailableBJ
IIIlllI	CreateNUnitsAtLoc
IIIlllI	RemoveUnit
IIIlllI	SetUnitLifePercentBJ
IIIlllI	UnitRemoveItemFromSlotSwapped
IIiIIII	UnitRemoveItemFromSlotSwapped
IIiIIlI	SetPlayerUnitAvailableBJ
IIiIilI	CreateItemLoc
IIiIilI	SetUnitManaPercentBJ
IIiIlII	ForGroupBJ
IIiiIII	CreateItemLoc
IIiiIII	SetUnitManaPercentBJ
IIiiIiI	ForGroupBJ
IIiiiiI	CreateItemLoc
IIiiiiI	SetUnitManaPercentBJ
IIiiilI	ForGroupBJ
IIiilII	DestroyTextTagBJ
IIiilII	SetTextTagColorBJ
IIiilII	lIIiiI
IIilIlI	DisableTrigger
IIilIlI	EnableTrigger
IIilIlI	RemoveItem
IIilIlI	SetItemCharges
IIilIlI	UnitAddItemSwapped
IIilIlI	UnitRemoveItemSwapped
IIililI	CreateItemLoc
IIilllI	IssueImmediateOrderBJ
IIlIIiI	SetUnitInvulnerable
IIlIiII	SetUnitInvulnerable
IIlIlII	SetUnitInvulnerable
IIlIlII	UnitRemoveBuffBJ
IIlIliI	ConditionalTriggerExecute
IIlIliI	DisplayTimedTextToForce
IIliIII	KillUnit
IIliIiI	ForGroupBJ
IIliiII	ConditionalTriggerExecute
IIliiII	DisplayTimedTextToForce
IIliiII	SetPlayerStateBJ
IIlilII	RemoveUnit
IIlillI	RemoveUnit
IIllIII	CreateNUnitsAtLoc
IIllIiI	RemoveUnit
IIlliiI	SelectUnitRemoveForPlayer
IIlliiI	SetUnitOwner
IIlllII	SetCameraFieldForPlayer
IiIIIII	SetCameraFieldForPlayer
IiIIIiI	ForForce
IiIIilI	DisplayTimedTextToForce
IiIIilI	SetPlayerAllianceStateBJ
IiilliI	DialogAddButtonBJ
IiilliI	DialogDisplayBJ
IiilliI	DialogSetMessageBJ
IiilliI	DisplayTimedTextToForce
IilIIlI	DialogClearBJ
IilIIlI	DisplayTimedTextToForce
IilIIlI	SetPlayerAllianceStateBJ
IilIlII	DialogClearBJ
IilIlII	DisplayTimedTextToForce
IilIlII	SetPlayerAllianceStateBJ
IiliIiI	DialogClearBJ
IiliIiI	DisplayTimedTextToForce
IiliIiI	SetPlayerAllianceStateBJ
IiliilI	DialogClearBJ
IiliilI	DisplayTimedTextToForce
IiliilI	SetPlayerAllianceStateBJ
IillIII	DialogClearBJ
IillIII	DisplayTimedTextToForce
