function	callee
lIlIiII	lIIilII
lIlIiII	lIIillI
lIlIiII	lIIlIiI
lIlIiII	lIIliiI
lIlIiII	lIIlliI
lIlIiII	lIiIIlI
lIlIiII	lIiIliI
lIlIiII	lIiiIiI
lIlIiII	lIiiiII
lIlIiII	lIiiilI
lIlIiII	lIilIII
lIlIiII	lIilIlI
lIlIiII	lIiliiI
lIlIiII	lIillII
lIlIiII	lIlIIlI
lIlIiiI	ConditionalTriggerExecute
lIlIilI	ForcePlayerStartLocation
lIlIilI	SetPlayerColor
lIlIilI	SetPlayerController
lIlIilI	SetPlayerRacePreference
lIlIilI	SetPlayerRaceSelectable
lIlIilI	SetPlayerStartLocation
InitCustomTeams	SetPlayerTeam
lIlIlII	SetStartLocPrio
lIlIlII	SetStartLocPrioCount
main	NewSoundEnvironment
main	SetAmbientDaySound
main	SetAmbientNightSound
main	SetCameraBounds
main	SetDayNightModels
main	SetMapMusic
main	SetTerrainFogEx
main	lIlIiII
main	lIlIiiI
main	liiIiI
main	liiIlI
main	liiliI
main	liillI
config	DefineStartLocation
config	InitCustomTeams
config	SetGamePlacement
config	SetMapDescription
config	SetMapName
config	SetPlayers
config	SetTeams
config	lIlIilI
config	lIlIlII
